Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
42,2015-01-13,16:00:00,36,3,Tuesday
43,2015-01-13,17:00:00,104,3,Tuesday
44,2015-01-13,18:00:00,96,3,Tuesday
45,2015-01-13,19:00:00,84,3,Tuesday
46,2015-01-13,20:00:00,214,3,Tuesday
47,2015-01-13,21:00:00,160,3,Tuesday
48,2015-01-14,06:00:00,190,3,Wednesday
49,2015-01-14,07:00:00,20,3,Wednesday
50,2015-01-14,08:00:00,74,3,Wednesday
51,2015-01-14,09:00:00,104,3,Wednesday
52,2015-01-14,10:00:00,133,3,Wednesday
53,2015-01-14,11:00:00,63,3,Wednesday
54,2015-01-14,12:00:00,90,3,Wednesday
55,2015-01-14,13:00:00,145,3,Wednesday
56,2015-01-14,14:00:00,55,3,Wednesday
57,2015-01-14,15:00:00,99,3,Wednesday
58,2015-01-14,16:00:00,105,3,Wednesday
59,2015-01-14,17:00:00,76,3,Wednesday
60,2015-01-14,18:00:00,126,3,Wednesday
61,2015-01-14,19:00:00,123,3,Wednesday
62,2015-01-14,20:00:00,154,3,Wednesday
63,2015-01-14,21:00:00,194,3,Wednesday
64,2015-01-15,06:00:00,160,3,Thursday
65,2015-01-15,07:00:00,31,3,Thursday
66,2015-01-15,08:00:00,36,3,Thursday
67,2015-01-15,09:00:00,137,3,Thursday
68,2015-01-15,10:00:00,72,3,Thursday
69,2015-01-15,11:00:00,70,3,Thursday
70,2015-01-15,12:00:00,73,3,Thursday
71,2015-01-15,13:00:00,182,3,Thursday
72,2015-01-15,14:00:00,126,3,Thursday
73,2015-01-15,15:00:00,85,3,Thursday
74,2015-01-15,16:00:00,57,3,Thursday
75,2015-01-15,17:00:00,109,3,Thursday
76,2015-01-15,18:00:00,72,3,Thursday
77,2015-01-15,19:00:00,108,3,Thursday
78,2015-01-15,20:00:00,159,3,Thursday
79,2015-01-15,21:00:00,194,3,Thursday
80,2015-01-16,06:00:00,159,3,Friday
81,2015-01-16,07:00:00,39,3,Friday
82,2015-01-16,08:00:00,46,3,Friday
83,2015-01-16,09:00:00,114,3,Friday
84,2015-01-16,10:00:00,82,3,Friday
85,2015-01-16,11:00:00,21,3,Friday
86,2015-01-16,12:00:00,65,3,Friday
87,2015-01-16,13:00:00,106,3,Friday
88,2015-01-16,14:00:00,132,3,Friday
89,2015-01-16,15:00:00,66,3,Friday
90,2015-01-16,16:00:00,33,3,Friday
91,2015-01-17,06:00:00,309,3,Saturday
92,2015-01-17,07:00:00,15,3,Saturday
93,2015-01-17,08:00:00,36,3,Saturday
94,2015-01-17,09:00:00,71,3,Saturday
95,2015-01-17,10:00:00,63,3,Saturday
96,2015-01-17,11:00:00,18,3,Saturday
97,2015-01-17,12:00:00,86,3,Saturday
98,2015-01-17,13:00:00,107,3,Saturday
99,2015-01-17,14:00:00,119,3,Saturday
100,2015-01-17,15:00:00,42,3,Saturday
101,2015-01-17,16:00:00,55,3,Saturday
102,2015-01-17,17:00:00,63,3,Saturday
103,2015-01-17,18:00:00,88,3,Saturday
104,2015-01-17,19:00:00,132,3,Saturday
105,2015-01-17,20:00:00,114,3,Saturday
106,2015-01-17,21:00:00,103,3,Saturday
107,2015-01-18,06:00:00,135,3,Sunday
108,2015-01-18,07:00:00,43,3,Sunday
109,2015-01-18,08:00:00,66,3,Sunday
110,2015-01-18,09:00:00,108,3,Sunday
111,2015-01-18,10:00:00,113,3,Sunday
112,2015-01-18,11:00:00,49,3,Sunday
113,2015-01-18,12:00:00,60,3,Sunday
114,2015-01-18,13:00:00,139,3,Sunday
115,2015-01-18,14:00:00,146,3,Sunday
116,2015-01-18,15:00:00,51,3,Sunday
117,2015-01-18,16:00:00,83,3,Sunday
118,2015-01-18,17:00:00,105,3,Sunday
119,2015-01-18,18:00:00,93,3,Sunday
120,2015-01-18,19:00:00,143,3,Sunday
121,2015-01-18,20:00:00,144,3,Sunday
122,2015-01-18,21:00:00,124,3,Sunday
123,2015-01-19,06:00:00,167,4,Monday
124,2015-01-19,07:00:00,25,4,Monday
125,2015-01-19,08:00:00,55,4,Monday
126,2015-01-19,09:00:00,92,4,Monday
127,2015-01-19,10:00:00,111,4,Monday
128,2015-01-19,11:00:00,36,4,Monday
129,2015-01-19,12:00:00,62,4,Monday
130,2015-01-19,13:00:00,176,4,Monday
