Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
184,2015-02-23,19:00:00,66,9,Monday
185,2015-02-24,14:00:00,62,9,Tuesday
186,2015-02-24,17:00:00,133,9,Tuesday
187,2015-02-24,18:00:00,40,9,Tuesday
188,2015-02-24,21:00:00,40,9,Tuesday
189,2015-02-25,15:00:00,130,9,Wednesday
190,2015-02-25,17:00:00,24,9,Wednesday
191,2015-02-25,19:00:00,152,9,Wednesday
192,2015-02-25,20:00:00,147,9,Wednesday
193,2015-02-25,21:00:00,31,9,Wednesday
194,2015-02-26,14:00:00,81,9,Thursday
195,2015-02-26,18:00:00,44,9,Thursday
196,2015-02-26,20:00:00,50,9,Thursday
197,2015-02-26,21:00:00,70,9,Thursday
198,2015-02-27,14:00:00,125,9,Friday
199,2015-02-27,16:00:00,43,9,Friday
200,2015-02-27,19:00:00,181,9,Friday
201,2015-02-27,20:00:00,39,9,Friday
202,2015-02-28,15:00:00,66,9,Saturday
203,2015-02-28,18:00:00,150,9,Saturday
204,2015-02-28,20:00:00,47,9,Saturday
205,2015-03-01,14:00:00,63,9,Sunday
206,2015-03-01,15:00:00,26,9,Sunday
207,2015-03-01,18:00:00,195,9,Sunday
208,2015-03-01,19:00:00,79,9,Sunday
209,2015-03-01,20:00:00,39,9,Sunday
210,2015-03-01,21:00:00,159,9,Sunday
211,2015-03-02,14:00:00,58,10,Monday
212,2015-03-02,16:00:00,54,10,Monday
213,2015-03-02,19:00:00,58,10,Monday
214,2015-03-02,20:00:00,149,10,Monday
215,2015-03-03,14:00:00,73,10,Tuesday
216,2015-03-03,18:00:00,26,10,Tuesday
217,2015-03-03,20:00:00,41,10,Tuesday
218,2015-03-04,14:00:00,60,10,Wednesday
219,2015-03-04,15:00:00,56,10,Wednesday
220,2015-03-04,19:00:00,193,10,Wednesday
221,2015-03-05,14:00:00,75,10,Thursday
222,2015-03-05,18:00:00,195,10,Thursday
223,2015-03-05,20:00:00,70,10,Thursday
224,2015-03-05,21:00:00,89,10,Thursday
225,2015-03-06,14:00:00,85,10,Friday
226,2015-03-06,16:00:00,40,10,Friday
227,2015-03-06,18:00:00,27,10,Friday
228,2015-03-06,19:00:00,167,10,Friday
229,2015-03-06,20:00:00,95,10,Friday
230,2015-03-06,21:00:00,120,10,Friday
231,2015-03-07,14:00:00,85,10,Saturday
232,2015-03-07,18:00:00,179,10,Saturday
233,2015-03-07,19:00:00,15,10,Saturday
234,2015-03-07,20:00:00,20,10,Saturday
235,2015-03-08,15:00:00,52,10,Sunday
236,2015-03-08,20:00:00,129,10,Sunday
237,2015-03-08,21:00:00,130,10,Sunday
238,2015-03-09,15:00:00,48,11,Monday
239,2015-03-09,17:00:00,54,11,Monday
240,2015-03-09,19:00:00,30,11,Monday
241,2015-03-10,15:00:00,43,11,Tuesday
242,2015-03-10,20:00:00,26,11,Tuesday
243,2015-03-10,21:00:00,11,11,Tuesday
244,2015-03-11,15:00:00,53,11,Wednesday
245,2015-03-11,17:00:00,72,11,Wednesday
246,2015-03-11,19:00:00,103,11,Wednesday
247,2015-03-11,20:00:00,46,11,Wednesday
248,2015-03-12,15:00:00,93,11,Thursday
249,2015-03-12,18:00:00,35,11,Thursday
250,2015-03-12,19:00:00,93,11,Thursday
251,2015-03-13,14:00:00,88,11,Friday
252,2015-03-13,15:00:00,56,11,Friday
