Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date,PMIS - Total Customer Throughput (Unadjusted)
1476,,13:00:00,,20,Wednesday,,,2019-05-15,1.0
1477,2017-05-17,14:00:00,1.0,20,Wednesday,2018-05-16,4.0,2019-05-15,2.0
1478,2017-05-17,15:00:00,1.0,20,Wednesday,2018-05-16,5.0,2019-05-15,1.0
1479,2017-05-17,16:00:00,2.0,20,Wednesday,,,2019-05-15,4.0
1480,,17:00:00,,20,Wednesday,,,2019-05-15,8.0
1481,,19:00:00,,20,Wednesday,,,2019-05-15,4.0
1482,,20:00:00,,20,Wednesday,,,2019-05-15,4.0
1483,,21:00:00,,20,Wednesday,2018-05-16,6.0,2019-05-15,3.0
1484,,05:00:00,,21,Friday,2018-05-25,2.0,,
1485,,06:00:00,,21,Friday,,,2019-05-24,1.0
1486,,08:00:00,,21,Friday,2018-05-25,4.0,2019-05-24,4.0
1487,,09:00:00,,21,Friday,2018-05-25,2.0,2019-05-24,4.0
1488,,10:00:00,,21,Friday,2018-05-25,5.0,,
1489,,11:00:00,,21,Friday,2018-05-25,2.0,,
1490,,12:00:00,,21,Friday,,,2019-05-24,8.0
1491,,13:00:00,,21,Friday,2018-05-25,4.0,,
1492,,14:00:00,,21,Friday,2018-05-25,1.0,,
1493,,15:00:00,,21,Friday,2018-05-25,1.0,,
1494,,16:00:00,,21,Friday,2018-05-25,1.0,,
1495,,17:00:00,,21,Friday,2018-05-25,2.0,,
1496,,18:00:00,,21,Friday,2018-05-25,1.0,2019-05-24,5.0
1497,,20:00:00,,21,Friday,2018-05-25,1.0,2019-05-24,1.0
1498,,21:00:00,,21,Friday,2018-05-25,2.0,,
1499,2017-05-22,05:00:00,1.0,21,Monday,,,2019-05-20,1.0
1500,,08:00:00,,21,Monday,,,2019-05-20,5.0
1501,,09:00:00,,21,Monday,2018-05-21,2.0,,
1502,,11:00:00,,21,Monday,2018-05-21,3.0,,
1503,2017-05-22,12:00:00,4.0,21,Monday,,,2019-05-20,5.0
1504,,13:00:00,,21,Monday,2018-05-21,2.0,,
1505,2017-05-22,14:00:00,2.0,21,Monday,2018-05-21,1.0,2019-05-20,2.0
1506,,15:00:00,,21,Monday,,,2019-05-20,2.0
1507,2017-05-22,16:00:00,1.0,21,Monday,,,,
1508,,18:00:00,,21,Monday,2018-05-21,2.0,2019-05-20,6.0
1509,,19:00:00,,21,Monday,,,2019-05-20,1.0
1510,,21:00:00,,21,Monday,2018-05-21,1.0,2019-05-20,3.0
1511,2017-05-27,08:00:00,2.0,21,Saturday,2018-05-26,1.0,,
1512,,09:00:00,,21,Saturday,2018-05-26,4.0,,
1513,,10:00:00,,21,Saturday,2018-05-26,1.0,2019-05-25,3.0
1514,,13:00:00,,21,Saturday,2018-05-26,2.0,2019-05-25,1.0
1515,2017-05-27,15:00:00,1.0,21,Saturday,,,2019-05-25,3.0
1516,,17:00:00,,21,Saturday,,,2019-05-25,1.0
1517,2017-05-27,18:00:00,1.0,21,Saturday,2018-05-26,2.0,,
1518,,19:00:00,,21,Saturday,2018-05-26,3.0,,
1519,,20:00:00,,21,Saturday,2018-05-26,1.0,,
1520,,09:00:00,,21,Sunday,2018-05-27,2.0,,
1521,,10:00:00,,21,Sunday,,,2019-05-26,2.0
1522,,11:00:00,,21,Sunday,,,2019-05-26,3.0
1523,,12:00:00,,21,Sunday,,,2019-05-26,4.0
1524,,14:00:00,,21,Sunday,2018-05-27,1.0,2019-05-26,1.0
1525,,16:00:00,,21,Sunday,2018-05-27,2.0,,
1526,,20:00:00,,21,Sunday,,,2019-05-26,1.0
1527,,07:00:00,,21,Thursday,2018-05-24,5.0,2019-05-23,16.0
