Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
311,2015-02-26,19:00:00,50,9,Thursday
312,2015-02-27,05:00:00,26,9,Friday
313,2015-02-27,06:00:00,181,9,Friday
314,2015-02-27,07:00:00,61,9,Friday
315,2015-02-27,08:00:00,0,9,Friday
316,2015-02-27,09:00:00,47,9,Friday
317,2015-02-27,17:00:00,144,9,Friday
318,2015-02-27,18:00:00,16,9,Friday
319,2015-02-28,05:00:00,13,9,Saturday
320,2015-02-28,06:00:00,138,9,Saturday
321,2015-02-28,07:00:00,73,9,Saturday
322,2015-02-28,17:00:00,111,9,Saturday
323,2015-02-28,18:00:00,53,9,Saturday
324,2015-03-01,05:00:00,9,9,Sunday
325,2015-03-01,06:00:00,82,9,Sunday
326,2015-03-01,07:00:00,97,9,Sunday
327,2015-03-01,08:00:00,57,9,Sunday
328,2015-03-01,09:00:00,63,9,Sunday
329,2015-03-01,17:00:00,61,9,Sunday
330,2015-03-01,18:00:00,96,9,Sunday
331,2015-03-01,19:00:00,15,9,Sunday
332,2015-03-02,05:00:00,16,10,Monday
333,2015-03-02,06:00:00,141,10,Monday
334,2015-03-02,07:00:00,71,10,Monday
335,2015-03-02,18:00:00,92,10,Monday
336,2015-03-02,19:00:00,82,10,Monday
337,2015-03-03,05:00:00,5,10,Tuesday
338,2015-03-03,06:00:00,141,10,Tuesday
339,2015-03-03,07:00:00,63,10,Tuesday
340,2015-03-03,09:00:00,76,10,Tuesday
341,2015-03-03,10:00:00,41,10,Tuesday
342,2015-03-03,11:00:00,70,10,Tuesday
343,2015-03-03,17:00:00,80,10,Tuesday
344,2015-03-03,18:00:00,39,10,Tuesday
345,2015-03-04,05:00:00,26,10,Wednesday
346,2015-03-04,06:00:00,169,10,Wednesday
347,2015-03-04,07:00:00,59,10,Wednesday
348,2015-03-04,17:00:00,122,10,Wednesday
349,2015-03-04,18:00:00,36,10,Wednesday
350,2015-03-05,05:00:00,16,10,Thursday
351,2015-03-05,06:00:00,161,10,Thursday
352,2015-03-05,07:00:00,62,10,Thursday
353,2015-03-05,17:00:00,8,10,Thursday
354,2015-03-05,18:00:00,57,10,Thursday
355,2015-03-05,19:00:00,28,10,Thursday
356,2015-03-06,05:00:00,29,10,Friday
357,2015-03-06,06:00:00,169,10,Friday
358,2015-03-06,07:00:00,65,10,Friday
359,2015-03-06,17:00:00,117,10,Friday
360,2015-03-06,18:00:00,38,10,Friday
361,2015-03-07,05:00:00,36,10,Saturday
362,2015-03-07,06:00:00,152,10,Saturday
363,2015-03-07,07:00:00,71,10,Saturday
364,2015-03-07,17:00:00,94,10,Saturday
365,2015-03-07,18:00:00,69,10,Saturday
366,2015-03-08,05:00:00,19,10,Sunday
367,2015-03-08,06:00:00,192,10,Sunday
368,2015-03-08,07:00:00,125,10,Sunday
369,2015-03-08,08:00:00,55,10,Sunday
370,2015-03-08,16:00:00,108,10,Sunday
371,2015-03-08,17:00:00,53,10,Sunday
372,2015-03-09,05:00:00,19,11,Monday
373,2015-03-09,06:00:00,182,11,Monday
374,2015-03-09,07:00:00,47,11,Monday
375,2015-03-09,17:00:00,80,11,Monday
376,2015-03-09,18:00:00,75,11,Monday
377,2015-03-10,05:00:00,23,11,Tuesday
378,2015-03-10,06:00:00,135,11,Tuesday
379,2015-03-10,07:00:00,76,11,Tuesday
380,2015-03-10,09:00:00,230,11,Tuesday
381,2015-03-10,16:00:00,95,11,Tuesday
382,2015-03-10,17:00:00,41,11,Tuesday
383,2015-03-11,05:00:00,19,11,Wednesday
384,2015-03-11,06:00:00,187,11,Wednesday
385,2015-03-11,07:00:00,53,11,Wednesday
386,2015-03-11,16:00:00,122,11,Wednesday
387,2015-03-11,17:00:00,54,11,Wednesday
388,2015-03-12,05:00:00,18,11,Thursday
389,2015-03-12,06:00:00,204,11,Thursday
390,2015-03-12,07:00:00,33,11,Thursday
391,2015-03-12,09:00:00,161,11,Thursday
392,2015-03-12,17:00:00,120,11,Thursday
393,2015-03-12,18:00:00,48,11,Thursday
394,2015-03-13,05:00:00,44,11,Friday
395,2015-03-13,06:00:00,146,11,Friday
396,2015-03-13,07:00:00,63,11,Friday
397,2015-03-13,16:00:00,83,11,Friday
398,2015-03-13,17:00:00,74,11,Friday
399,2015-03-14,05:00:00,31,11,Saturday
400,2015-03-14,06:00:00,116,11,Saturday
401,2015-03-14,07:00:00,123,11,Saturday
402,2015-03-14,16:00:00,114,11,Saturday
403,2015-03-14,17:00:00,54,11,Saturday
404,2015-03-15,05:00:00,12,11,Sunday
405,2015-03-15,06:00:00,116,11,Sunday
406,2015-03-15,07:00:00,185,11,Sunday
407,2015-03-15,08:00:00,58,11,Sunday
408,2015-03-15,16:00:00,136,11,Sunday
409,2015-03-15,17:00:00,28,11,Sunday
410,2015-03-16,05:00:00,22,12,Monday
411,2015-03-16,06:00:00,145,12,Monday
412,2015-03-16,07:00:00,93,12,Monday
413,2015-03-16,16:00:00,98,12,Monday
414,2015-03-16,17:00:00,81,12,Monday
415,2015-03-17,05:00:00,23,12,Tuesday
416,2015-03-17,06:00:00,122,12,Tuesday
417,2015-03-17,07:00:00,84,12,Tuesday
418,2015-03-17,08:00:00,11,12,Tuesday
419,2015-03-17,16:00:00,122,12,Tuesday
420,2015-03-17,17:00:00,40,12,Tuesday
421,2015-03-18,05:00:00,26,12,Wednesday
422,2015-03-18,06:00:00,122,12,Wednesday
423,2015-03-18,07:00:00,85,12,Wednesday
424,2015-03-18,16:00:00,119,12,Wednesday
425,2015-03-18,17:00:00,45,12,Wednesday
426,2015-03-19,05:00:00,12,12,Thursday
427,2015-03-19,06:00:00,131,12,Thursday
428,2015-03-19,07:00:00,93,12,Thursday
429,2015-03-19,15:00:00,0,12,Thursday
430,2015-03-19,16:00:00,133,12,Thursday
431,2015-03-19,17:00:00,37,12,Thursday
432,2015-03-20,05:00:00,8,12,Friday
433,2015-03-20,06:00:00,174,12,Friday
434,2015-03-20,07:00:00,60,12,Friday
435,2015-03-20,16:00:00,135,12,Friday
436,2015-03-20,17:00:00,32,12,Friday
437,2015-03-21,05:00:00,11,12,Saturday
438,2015-03-21,06:00:00,219,12,Saturday
439,2015-03-21,07:00:00,33,12,Saturday
440,2015-03-21,16:00:00,133,12,Saturday
441,2015-03-21,17:00:00,9,12,Saturday
442,2015-03-22,05:00:00,5,12,Sunday
443,2015-03-22,06:00:00,152,12,Sunday
444,2015-03-22,07:00:00,89,12,Sunday
445,2015-03-22,16:00:00,161,12,Sunday
446,2015-03-22,17:00:00,17,12,Sunday
447,2015-03-23,05:00:00,26,13,Monday
448,2015-03-23,06:00:00,124,13,Monday
449,2015-03-23,07:00:00,101,13,Monday
450,2015-03-23,16:00:00,138,13,Monday
451,2015-03-23,17:00:00,37,13,Monday
452,2015-03-24,05:00:00,11,13,Tuesday
453,2015-03-24,06:00:00,224,13,Tuesday
454,2015-03-24,07:00:00,25,13,Tuesday
455,2015-03-24,16:00:00,129,13,Tuesday
456,2015-03-24,17:00:00,52,13,Tuesday
457,2015-03-25,05:00:00,14,13,Wednesday
458,2015-03-25,06:00:00,174,13,Wednesday
459,2015-03-25,07:00:00,49,13,Wednesday
460,2015-03-25,18:00:00,113,13,Wednesday
461,2015-03-25,19:00:00,45,13,Wednesday
462,2015-03-26,05:00:00,0,13,Thursday
463,2015-03-26,06:00:00,209,13,Thursday
464,2015-03-26,07:00:00,44,13,Thursday
465,2015-03-26,16:00:00,110,13,Thursday
466,2015-03-26,17:00:00,55,13,Thursday
467,2015-03-27,05:00:00,35,13,Friday
468,2015-03-27,06:00:00,154,13,Friday
469,2015-03-27,07:00:00,66,13,Friday
470,2015-03-27,17:00:00,131,13,Friday
471,2015-03-28,05:00:00,29,13,Saturday
472,2015-03-28,06:00:00,141,13,Saturday
473,2015-03-28,07:00:00,84,13,Saturday
474,2015-03-28,16:00:00,78,13,Saturday
475,2015-03-28,17:00:00,57,13,Saturday
476,2015-03-29,06:00:00,18,13,Sunday
477,2015-03-29,07:00:00,143,13,Sunday
478,2015-03-29,08:00:00,106,13,Sunday
479,2015-03-29,16:00:00,107,13,Sunday
480,2015-03-29,17:00:00,59,13,Sunday
481,2015-03-30,05:00:00,27,14,Monday
482,2015-03-30,06:00:00,220,14,Monday
483,2015-03-30,07:00:00,29,14,Monday
484,2015-03-30,18:00:00,121,14,Monday
485,2015-03-30,19:00:00,46,14,Monday
486,2015-03-31,05:00:00,24,14,Tuesday
487,2015-03-31,06:00:00,144,14,Tuesday
488,2015-03-31,07:00:00,76,14,Tuesday
489,2015-03-31,16:00:00,107,14,Tuesday
490,2015-03-31,17:00:00,64,14,Tuesday
491,2015-04-01,05:00:00,15,14,Wednesday
492,2015-04-01,06:00:00,122,14,Wednesday
493,2015-04-01,07:00:00,139,14,Wednesday
494,2015-04-01,16:00:00,85,14,Wednesday
495,2015-04-01,17:00:00,51,14,Wednesday
496,2015-04-01,18:00:00,52,14,Wednesday
497,2015-04-02,05:00:00,27,14,Thursday
498,2015-04-02,06:00:00,150,14,Thursday
499,2015-04-02,07:00:00,85,14,Thursday
500,2015-04-02,17:00:00,83,14,Thursday
501,2015-04-02,18:00:00,88,14,Thursday
502,2015-04-02,19:00:00,4,14,Thursday
503,2015-04-03,05:00:00,17,14,Friday
504,2015-04-03,06:00:00,121,14,Friday
505,2015-04-03,07:00:00,114,14,Friday
506,2015-04-03,17:00:00,155,14,Friday
507,2015-04-03,18:00:00,17,14,Friday
508,2015-04-04,05:00:00,9,14,Saturday
509,2015-04-04,06:00:00,122,14,Saturday
510,2015-04-04,07:00:00,96,14,Saturday
511,2015-04-04,16:00:00,77,14,Saturday
512,2015-04-04,17:00:00,58,14,Saturday
513,2015-04-05,05:00:00,18,14,Sunday
514,2015-04-05,06:00:00,135,14,Sunday
515,2015-04-05,07:00:00,44,14,Sunday
516,2015-04-05,16:00:00,102,14,Sunday
517,2015-04-05,17:00:00,65,14,Sunday
518,2015-04-06,05:00:00,20,15,Monday
519,2015-04-06,06:00:00,175,15,Monday
520,2015-04-06,07:00:00,90,15,Monday
521,2015-04-06,16:00:00,112,15,Monday
522,2015-04-06,17:00:00,67,15,Monday
523,2015-04-07,05:00:00,23,15,Tuesday
